,#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
24,1624,Rafael Addison,379,5695,2186,920,2047,44.9,69,245,28.2,277,359,77.2,262,518,780,339,148,83,284,46.6,49.6
25,1625,Tim Legler,310,5253,2182,762,1705,44.7,260,603,43.1,398,474,84.0,128,353,481,402,149,41,194,52.3,57.0
26,1626,Kelenna Azubuike,208,5025,2178,802,1748,45.9,210,514,40.9,364,473,77.0,257,572,829,230,130,103,203,51.9,55.7
27,1627,Matt Maloney,295,7471,2177,783,1920,40.8,399,1073,37.2,212,266,79.7,62,438,500,852,240,14,381,51.2,53.4
28,1627,Steve Novak,467,5657,2177,751,1717,43.7,575,1337,43.0,100,114,87.7,68,523,591,132,91,38,81,60.5,61.6
29,1629,Eddie Griffin,303,6729,2171,854,2263,37.7,237,752,31.5,226,337,67.1,497,1247,1744,236,105,518,227,43.0,45.0
30,1629,Art Harris,238,5206,2171,923,2331,39.6,,,,325,519,62.6,,,575,639,,,,39.6,42.4
31,1631,Khalid Reeves,277,5837,2167,744,1788,41.6,235,647,36.3,444,597,74.4,163,417,580,886,234,32,446,48.2,52.8
32,1632,Red Holzman,358,2106,2166,830,2622,31.7,,,,506,742,68.2,,,344,721,,,,31.7,36.7
33,1633,Tony Brown,359,6005,2163,860,1969,43.7,36,139,25.9,407,566,71.9,352,414,766,563,234,40,392,44.6,48.8
34,1633,Ed Mikan,323,2779,2163,799,2493,32.0,,,,565,747,75.6,,,1093,296,,,,32.0,38.3
35,1635,Bennedict Mathurin,137,3760,2158,709,1614,43.9,180,524,34.4,560,678,82.6,147,405,552,235,83,27,249,49.5,56.4
36,1636,Bob Lavoy,264,5433,2156,821,2139,38.4,,,,514,727,70.7,,,1634,391,,,,38.4,43.8
37,1637,Danuel House Jr.,294,6271,2155,734,1692,43.4,368,1024,35.9,319,419,76.1,156,723,879,335,165,98,214,54.3,57.4
38,1638,Tre Jones,251,5539,2153,847,1760,48.1,122,405,30.1,337,400,84.3,151,559,710,1198,217,25,285,51.6,55.6
39,1639,Frank Saul,384,6219,2152,781,2170,36.0,,,,590,798,73.9,,,683,596,,,,36.0,42.7
40,1640,Ennis Whatley,385,7107,2150,845,1805,46.8,3,31,9.7,457,605,75.5,198,481,679,1754,383,44,687,46.9,51.9
41,1641,Keegan Murray,157,4971,2148,797,1757,45.4,389,1012,38.4,165,205,80.5,195,596,791,227,140,101,124,56.4,58.1
42,1641,Yi Jianlian,272,6038,2148,813,2012,40.4,75,225,33.3,447,573,78.0,379,960,1339,192,136,184,302,42.3,47.4
43,1643,Jonathon Simmons,258,5298,2142,786,1774,44.3,145,457,31.7,425,562,75.6,124,497,621,483,158,61,343,48.4,53.0
44,1644,Ernie Vandeweghe,224,3600,2135,818,1942,42.1,,,,499,674,74.0,,,853,548,,,,42.1,47.7
